Date,Latitude,Longitude,Altitude,Distance,Speed,Heart rate,Power,Cadence
2024-01-06 16:40:45,,,,0,0.0,110,0,0
2024-01-06 16:40:45,,,,0,0.0,113,0,67
2024-01-06 16:40:46,,,,0,0.0,113,0,67
2024-01-06 16:40:47,,,,0,0.0,111,0,68
2024-01-06 16:40:48,,,,0,0.0,110,0,68
2024-01-06 16:40:49,,,,0,1.3,110,15,67
2024-01-06 16:40:50,,,,0,1.7,110,25,67
2024-01-06 16:40:51,,,,1,2.0,110,35,65
2024-01-06 16:40:52,,,,2,4.9,110,50,71
2024-01-06 16:40:53,,,,4,6.0,109,50,71
2024-01-06 16:40:54,,,,6,6.8,107,50,72
2024-01-06 16:40:55,,,,8,7.6,107,50,72
2024-01-06 16:40:56,,,,10,8.2,107,50,72
2024-01-06 16:40:57,,,,13,8.8,108,50,72
2024-01-06 16:40:58,,,,15,9.3,108,50,72
2024-01-06 16:40:59,,,,18,9.8,108,50,71
2024-01-06 16:41:00,,,,21,10.2,108,50,71
2024-01-06 16:41:01,,,,24,10.6,110,50,73
2024-01-06 16:41:02,,,,27,11.0,109,50,72
2024-01-06 16:41:03,,,,30,11.4,110,50,72
2024-01-06 16:41:04,,,,33,11.7,109,50,72
2024-01-06 16:41:05,,,,36,12.0,111,50,72
2024-01-06 16:41:06,,,,40,12.3,112,50,73
2024-01-06 16:41:07,,,,43,12.6,113,50,75
2024-01-06 16:41:08,,,,47,12.9,114,50,75
2024-01-06 16:41:09,,,,51,13.1,113,50,74
2024-01-06 16:41:10,,,,54,13.4,114,50,77
2024-01-06 16:41:11,,,,58,13.6,114,50,77
2024-01-06 16:41:12,,,,62,13.8,114,50,75
2024-01-06 16:41:13,,,,66,14.1,115,50,75
2024-01-06 16:41:14,,,,70,14.3,114,50,77
2024-01-06 16:41:15,,,,74,14.5,114,50,73
2024-01-06 16:41:16,,,,78,14.6,115,50,73
2024-01-06 16:41:17,,,,82,14.8,115,50,77
2024-01-06 16:41:18,,,,86,15.0,115,50,77
2024-01-06 16:41:19,,,,90,15.1,115,50,77
2024-01-06 16:41:20,,,,95,15.3,115,50,76
2024-01-06 16:41:21,,,,99,15.5,115,50,76
2024-01-06 16:41:22,,,,103,15.6,116,50,76
2024-01-06 16:41:23,,,,108,15.7,116,50,75
2024-01-06 16:41:24,,,,112,15.9,116,50,75
2024-01-06 16:41:25,,,,116,16.0,116,50,77
2024-01-06 16:41:26,,,,121,16.1,116,50,79
2024-01-06 16:41:27,,,,125,16.2,116,50,79
2024-01-06 16:41:28,,,,130,16.3,115,50,78
2024-01-06 16:41:29,,,,135,16.4,115,50,79
2024-01-06 16:41:30,,,,139,16.5,116,50,79
2024-01-06 16:41:31,,,,144,16.6,116,50,77
2024-01-06 16:41:32,,,,148,16.7,116,50,77
2024-01-06 16:41:33,,,,153,16.8,116,50,77
2024-01-06 16:41:34,,,,158,16.9,116,50,78
