Date,Latitude,Longitude,Altitude,Distance,Speed,Heart rate,Power,Cadence
2024-01-08 16:56:15,46.23703,6.0445233333333,450.9,0,4.9,89,238,96
2024-01-08 16:56:16,46.23705,6.04454,450.9,3,9.9,89,238,96
2024-01-08 16:56:16,46.237065,6.044565,450.9,6,13.3,86,359,101
2024-01-08 16:56:17,46.23709,6.0446,450.8,10,15.6,86,348,99
2024-01-08 16:56:18,46.23713,6.04463,450.7,15,17.3,86,348,99
2024-01-08 16:56:19,46.23715,6.04465,450.7,20,18.7,86,348,99
2024-01-08 16:56:20,46.23721,6.04471,450.6,26,19.6,86,292,88
2024-01-08 16:56:21,46.237235,6.044745,450.6,31,20.4,86,292,88
2024-01-08 16:56:22,46.23724,6.04476,450.6,37,21.1,86,292,88
2024-01-08 16:56:23,46.23732,6.04485,450.5,43,21.9,91,333,96
2024-01-08 16:56:24,46.23736,6.0449,450.5,49,22.6,91,323,94
2024-01-08 16:56:25,46.23739,6.04493,450.5,56,23.2,92,318,93
2024-01-08 16:56:26,46.237455,6.045005,450.5,62,23.8,93,323,94
2024-01-08 16:56:27,46.2375,6.04503,450.5,69,24.3,92,323,94
2024-01-08 16:56:28,46.23754,6.04506,450.5,76,24.7,92,308,91
2024-01-08 16:56:29,46.2376,6.04513,450.6,83,24.9,91,282,86
2024-01-08 16:56:30,46.23766,6.04518,450.7,90,25.2,91,282,86
2024-01-08 16:56:31,46.23772,6.04523,450.8,97,25.3,91,262,82
2024-01-08 16:56:32,46.23775,6.04525,450.9,104,25.4,91,267,83
2024-01-08 16:56:33,46.23782,6.0453,451.1,111,25.6,91,277,85
2024-01-08 16:56:34,46.23789,6.04536,451.3,118,25.7,93,277,85
2024-01-08 16:56:35,46.23793,6.04538,451.4,126,25.8,93,277,85
2024-01-08 16:56:36,46.23799,6.04546,451.6,133,26.1,94,297,89
2024-01-08 16:56:37,46.23802,6.0455,451.8,140,26.5,96,359,101
2024-01-08 16:56:38,46.2381,6.04557,452.0,148,27.0,97,359,101
2024-01-08 16:56:39,46.23814,6.04557,452.1,155,27.1,97,297,89
2024-01-08 16:56:40,46.23824,6.04563,452.5,163,27.1,99,261,85
2024-01-08 16:56:41,46.23828,6.04567,452.7,170,27.0,97,261,85
2024-01-08 16:56:42,46.23832,6.04571,452.9,178,26.9,98,234,83
2024-01-08 16:56:43,46.23836,6.04575,453.1,185,26.8,98,244,85
2024-01-08 16:56:44,46.23844,6.04585,453.5,192,26.6,96,224,81
2024-01-08 16:56:45,46.2385,6.045875,453.7,200,26.4,97,224,81
2024-01-08 16:56:46,46.23853,6.0459,453.8,207,26.3,95,220,80
2024-01-08 16:56:47,46.2386,6.04596,454.1,214,26.1,97,220,80
2024-01-08 16:56:48,46.23867,6.04603,454.4,222,25.9,97,220,80
2024-01-08 16:56:49,46.23871,6.04606,454.6,229,25.8,97,215,79
2024-01-08 16:56:50,46.23878,6.04612,454.9,236,25.6,97,215,79
2024-01-08 16:56:51,46.23882,6.04616,455.1,243,25.5,97,215,79
2024-01-08 16:56:52,46.23886,6.0462,455.3,250,25.4,97,224,81
2024-01-08 16:56:53,46.23891,6.04624,455.6,257,25.2,96,205,77
2024-01-08 16:56:54,46.23899,6.04632,456.0,264,25.0,99,205,77
2024-01-08 16:56:55,46.23901,6.04634,456.1,271,25.0,100,224,81
2024-01-08 16:56:56,46.23906,6.04638,456.3,278,24.9,100,220,80
2024-01-08 16:56:57,46.23915,6.04646,456.7,285,24.8,101,220,80
2024-01-08 16:56:58,46.23919,6.04649,456.9,292,24.7,102,205,77
2024-01-08 16:56:59,46.23923,6.04651,457.0,298,24.6,102,205,77
2024-01-08 16:57:00,46.23931,6.04657,457.3,305,24.5,103,220,80
2024-01-08 16:57:01,46.239365,6.04662,457.5,312,24.4,104,215,79
2024-01-08 16:57:02,46.23939,6.04664,457.5,319,24.4,103,229,82
2024-01-08 16:57:03,46.23947,6.0467,457.7,326,24.4,103,229,82
2024-01-08 16:57:04,46.23951,6.04674,457.8,332,24.5,103,239,84
2024-01-08 16:57:05,46.23956,6.04678,457.9,339,24.5,102,229,82
2024-01-08 16:57:06,46.2396,6.04681,458.0,346,24.5,101,229,82
2024-01-08 16:57:07,46.23968,6.04688,458.1,353,24.4,99,215,79
2024-01-08 16:57:08,46.23973,6.04692,458.2,360,24.4,98,215,79
2024-01-08 16:57:09,46.23978,6.04696,458.3,366,24.3,98,215,79
2024-01-08 16:57:10,46.23982,6.04699,458.3,373,24.2,98,215,79
2024-01-08 16:57:11,46.23986,6.04702,458.4,380,24.2,101,215,79
2024-01-08 16:57:12,46.23995,6.04709,458.5,386,24.1,101,215,79
2024-01-08 16:57:13,46.24,6.04712,458.6,393,24.1,103,215,79
2024-01-08 16:57:14,46.24004,6.04716,458.7,400,24.0,103,206,81
2024-01-08 16:57:15,46.24008,6.0472,458.7,406,23.9,104,206,81
2024-01-08 16:57:16,46.24013,6.04723,458.8,413,23.9,104,206,81
2024-01-08 16:57:18,46.24018,6.04727,458.8,420,24.3,104,206,81
2024-01-08 16:57:18,46.24026,6.04734,458.8,427,24.7,104,206,81
2024-01-08 16:57:19,46.2403,6.04737,458.8,434,25.1,103,203,80
2024-01-08 16:57:20,46.24035,6.04741,458.9,441,25.3,105,187,80
2024-01-08 16:57:21,46.2404,6.04746,458.9,448,25.6,104,187,80
2024-01-08 16:57:22,46.24048,6.04752,458.9,455,25.8,104,187,80
2024-01-08 16:57:23,46.24051,6.04754,458.9,462,26.0,105,187,80
2024-01-08 16:57:24,46.24058,6.04758,458.9,469,26.3,105,187,80
2024-01-08 16:57:25,46.24063,6.04761,458.9,477,26.4,105,183,79
