Date,Latitude,Longitude,Altitude,Distance,Speed,Heart rate,Power,Cadence
2024-01-01 20:10:01,,,,0,2.4,78,50,0
2024-01-01 20:10:02,,,,1,4.8,77,50,85
2024-01-01 20:10:03,,,,2,5.9,78,50,85
2024-01-01 20:10:04,,,,4,6.8,77,50,94
2024-01-01 20:10:05,,,,6,7.5,76,50,94
2024-01-01 20:10:06,,,,9,8.1,78,50,95
2024-01-01 20:10:07,,,,11,8.7,78,50,93
2024-01-01 20:10:08,,,,14,9.2,78,50,93
2024-01-01 20:10:09,,,,16,9.7,79,50,87
2024-01-01 20:10:10,,,,19,10.2,81,50,84
2024-01-01 20:10:11,,,,22,10.6,82,50,84
2024-01-01 20:10:12,,,,25,11.0,82,50,83
2024-01-01 20:10:13,,,,28,11.3,84,50,81
2024-01-01 20:10:14,,,,32,11.7,84,50,81
2024-01-01 20:10:15,,,,35,12.0,84,50,80
2024-01-01 20:10:16,,,,38,12.3,84,50,83
2024-01-01 20:10:17,,,,42,12.6,85,50,85
2024-01-01 20:10:18,,,,45,12.9,85,50,85
2024-01-01 20:10:19,,,,49,13.1,85,50,82
2024-01-01 20:10:20,,,,53,13.4,85,50,82
2024-01-01 20:10:21,,,,57,13.6,85,50,82
2024-01-01 20:10:22,,,,60,13.8,86,50,82
2024-01-01 20:10:23,,,,64,14.0,86,50,82
2024-01-01 20:10:24,,,,68,14.2,86,50,82
2024-01-01 20:10:24,,,,72,14.4,86,50,81
2024-01-01 20:10:25,,,,76,14.6,87,50,82
2024-01-01 20:10:27,,,,80,14.8,87,50,82
2024-01-01 20:10:27,,,,85,15.0,87,50,81
2024-01-01 20:10:29,,,,89,15.1,87,50,81
2024-01-01 20:10:29,,,,93,15.3,87,50,81
2024-01-01 20:10:31,,,,97,15.4,88,50,80
2024-01-01 20:10:32,,,,102,15.6,88,50,80
2024-01-01 20:10:33,,,,106,15.7,88,50,80
2024-01-01 20:10:34,,,,110,15.9,88,50,83
2024-01-01 20:10:34,,,,115,16.0,88,50,86
2024-01-01 20:10:36,,,,119,16.1,88,50,84
2024-01-01 20:10:37,,,,124,16.2,88,50,80
2024-01-01 20:10:38,,,,128,16.3,88,50,80
2024-01-01 20:10:39,,,,133,16.4,88,50,80
2024-01-01 20:10:40,,,,138,16.5,88,50,80
2024-01-01 20:10:41,,,,142,16.6,88,50,80
2024-01-01 20:10:42,,,,147,16.7,88,50,80
2024-01-01 20:10:42,,,,151,16.8,88,50,80
2024-01-01 20:10:43,,,,156,16.9,88,50,80
2024-01-01 20:10:45,,,,161,17.0,89,50,79
2024-01-01 20:10:46,,,,166,17.1,89,50,80
2024-01-01 20:10:46,,,,170,17.2,89,50,80
2024-01-01 20:10:48,,,,175,17.2,89,50,80
2024-01-01 20:10:48,,,,180,17.3,89,50,80
2024-01-01 20:10:49,,,,185,17.4,87,50,80
2024-01-01 20:10:50,,,,190,17.4,88,50,79
2024-01-01 20:10:51,,,,195,17.5,88,50,78
2024-01-01 20:10:53,,,,199,17.6,88,50,78
2024-01-01 20:10:54,,,,204,17.6,88,50,82
2024-01-01 20:10:54,,,,209,17.7,88,50,80
2024-01-01 20:10:55,,,,214,17.7,87,50,80
2024-01-01 20:10:56,,,,219,17.8,89,50,82
2024-01-01 20:10:57,,,,224,17.8,88,50,81
2024-01-01 20:10:58,,,,229,17.9,88,50,81
2024-01-01 20:11:00,,,,234,17.9,88,50,81
2024-01-01 20:11:00,,,,239,18.0,89,50,81
2024-01-01 20:11:01,,,,244,18.0,89,50,81
2024-01-01 20:11:02,,,,249,18.1,89,50,83
2024-01-01 20:11:03,,,,254,18.1,90,50,83
2024-01-01 20:11:04,,,,259,18.2,90,50,83
2024-01-01 20:11:05,,,,264,18.2,90,50,82
2024-01-01 20:11:06,,,,269,18.2,90,50,82
2024-01-01 20:11:07,,,,274,18.3,90,50,82
2024-01-01 20:11:08,,,,279,18.3,91,50,82
2024-01-01 20:11:09,,,,284,18.3,91,50,82
2024-01-01 20:11:10,,,,290,18.4,91,50,82
2024-01-01 20:11:11,,,,295,18.4,91,50,83
2024-01-01 20:11:12,,,,300,18.4,92,50,81
2024-01-01 20:11:13,,,,305,18.5,92,50,81
2024-01-01 20:11:14,,,,310,18.5,92,50,81
2024-01-01 20:11:15,,,,315,18.5,93,50,81
2024-01-01 20:11:16,,,,320,18.5,93,50,81
2024-01-01 20:11:17,,,,326,18.6,93,50,82
2024-01-01 20:11:18,,,,331,18.6,93,50,83
2024-01-01 20:11:19,,,,336,18.6,93,50,83
2024-01-01 20:11:20,,,,341,18.6,93,50,83
2024-01-01 20:11:21,,,,346,18.6,92,50,80
2024-01-01 20:11:22,,,,351,18.7,92,50,80
2024-01-01 20:11:23,,,,357,18.7,92,50,81
2024-01-01 20:11:24,,,,362,18.7,91,50,81
2024-01-01 20:11:25,,,,367,18.7,91,50,80
2024-01-01 20:11:26,,,,372,18.7,91,50,80
2024-01-01 20:11:27,,,,377,18.8,90,50,79
2024-01-01 20:11:28,,,,383,18.8,92,50,79
2024-01-01 20:11:30,,,,388,18.8,90,50,82
2024-01-01 20:11:30,,,,393,18.8,91,50,84
2024-01-01 20:11:31,,,,398,18.8,90,50,84
2024-01-01 20:11:32,,,,403,18.8,90,50,83
2024-01-01 20:11:33,,,,409,18.8,90,50,83
2024-01-01 20:11:34,,,,414,18.9,90,50,83
2024-01-01 20:11:35,,,,419,18.9,90,50,82
2024-01-01 20:11:36,,,,424,18.9,90,50,82
2024-01-01 20:11:37,,,,430,18.9,90,50,82
2024-01-01 20:11:38,,,,435,18.9,90,50,82
2024-01-01 20:11:39,,,,440,18.9,90,50,82
2024-01-01 20:11:40,,,,445,18.9,89,50,81
2024-01-01 20:11:41,,,,451,18.9,90,50,81
2024-01-01 20:11:42,,,,456,18.9,90,50,82
2024-01-01 20:11:43,,,,461,18.9,90,50,82
2024-01-01 20:11:44,,,,466,19.0,90,50,82
2024-01-01 20:11:45,,,,472,19.0,90,50,80
2024-01-01 20:11:46,,,,477,19.0,90,50,79
2024-01-01 20:11:47,,,,482,19.0,90,50,79
2024-01-01 20:11:48,,,,488,19.0,90,50,81
2024-01-01 20:11:49,,,,493,19.0,90,50,82
2024-01-01 20:11:50,,,,498,19.0,89,50,82
2024-01-01 20:11:51,,,,503,19.0,90,50,80
2024-01-01 20:11:52,,,,509,19.0,90,50,80
2024-01-01 20:11:53,,,,514,19.0,90,50,80
2024-01-01 20:11:54,,,,519,19.0,90,50,81
2024-01-01 20:11:55,,,,525,19.0,90,50,81
2024-01-01 20:11:56,,,,530,19.0,91,50,81
2024-01-01 20:11:57,,,,535,19.0,91,50,81
2024-01-01 20:11:58,,,,540,19.0,91,50,81
2024-01-01 20:11:59,,,,546,19.1,91,50,81
2024-01-01 20:12:01,,,,551,19.2,91,65,88
2024-01-01 20:12:01,,,,556,19.3,91,70,88
2024-01-01 20:12:02,,,,562,19.4,91,75,89
2024-01-01 20:12:03,,,,567,19.6,90,75,89
2024-01-01 20:12:04,,,,573,19.7,90,75,89
2024-01-01 20:12:05,,,,578,19.8,90,75,90
2024-01-01 20:12:06,,,,584,20.0,90,75,84
2024-01-01 20:12:07,,,,589,20.1,90,75,84
2024-01-01 20:12:08,,,,595,20.2,91,75,80
2024-01-01 20:12:09,,,,601,20.3,92,75,78
2024-01-01 20:12:10,,,,606,20.4,92,75,78
2024-01-01 20:12:11,,,,612,20.5,93,75,78
2024-01-01 20:12:12,,,,618,20.6,93,75,78
2024-01-01 20:12:13,,,,623,20.7,93,75,78
2024-01-01 20:12:14,,,,629,20.8,93,75,79
2024-01-01 20:12:15,,,,635,20.9,94,75,79
2024-01-01 20:12:16,,,,641,21.0,93,75,79
2024-01-01 20:12:17,,,,647,21.0,93,75,79
2024-01-01 20:12:18,,,,653,21.1,93,75,79
2024-01-01 20:12:19,,,,658,21.2,93,75,79
2024-01-01 20:12:20,,,,664,21.3,93,75,80
2024-01-01 20:12:21,,,,670,21.3,93,75,81
2024-01-01 20:12:22,,,,676,21.4,93,75,81
2024-01-01 20:12:23,,,,682,21.4,93,75,79
2024-01-01 20:12:24,,,,688,21.5,92,75,78
2024-01-01 20:12:25,,,,694,21.6,92,75,78
2024-01-01 20:12:26,,,,700,21.6,92,75,77
2024-01-01 20:12:27,,,,706,21.7,92,75,78
2024-01-01 20:12:28,,,,712,21.7,91,75,78
2024-01-01 20:12:29,,,,718,21.8,91,75,79
2024-01-01 20:12:30,,,,724,21.8,91,75,78
2024-01-01 20:12:31,,,,730,21.8,91,75,78
2024-01-01 20:12:32,,,,736,21.9,91,75,78
2024-01-01 20:12:33,,,,743,21.9,90,75,81
2024-01-01 20:12:34,,,,749,22.0,90,75,81
2024-01-01 20:12:35,,,,755,22.0,90,75,78
2024-01-01 20:12:36,,,,761,22.0,91,75,80
2024-01-01 20:12:37,,,,767,22.1,91,75,80
2024-01-01 20:12:38,,,,773,22.1,91,75,78
2024-01-01 20:12:39,,,,779,22.1,92,75,80
2024-01-01 20:12:40,,,,785,22.2,92,75,80
2024-01-01 20:12:41,,,,792,22.2,92,75,80
2024-01-01 20:12:42,,,,798,22.2,92,75,79
2024-01-01 20:12:43,,,,804,22.2,92,75,79
2024-01-01 20:12:44,,,,810,22.3,92,75,79
2024-01-01 20:12:45,,,,816,22.3,92,75,79
2024-01-01 20:12:46,,,,823,22.3,92,75,79
2024-01-01 20:12:47,,,,829,22.3,91,75,79
2024-01-01 20:12:48,,,,835,22.4,92,75,80
2024-01-01 20:12:49,,,,841,22.4,92,75,80
2024-01-01 20:12:50,,,,847,22.4,92,75,80
2024-01-01 20:12:51,,,,854,22.4,93,75,77
2024-01-01 20:12:52,,,,860,22.4,93,75,80
2024-01-01 20:12:53,,,,866,22.4,93,75,80
2024-01-01 20:12:54,,,,872,22.5,93,75,81
2024-01-01 20:12:55,,,,879,22.5,93,75,81
2024-01-01 20:12:56,,,,885,22.5,93,75,82
2024-01-01 20:12:57,,,,891,22.5,93,75,79
2024-01-01 20:12:58,,,,897,22.5,93,75,79
2024-01-01 20:12:59,,,,904,22.5,93,75,79
2024-01-01 20:13:00,,,,910,22.5,94,75,80
2024-01-01 20:13:01,,,,916,22.6,94,75,80
2024-01-01 20:13:02,,,,922,22.6,93,75,80
2024-01-01 20:13:03,,,,929,22.6,93,75,80
2024-01-01 20:13:04,,,,935,22.6,93,75,79
2024-01-01 20:13:05,,,,941,22.6,93,75,79
2024-01-01 20:13:06,,,,947,22.6,93,75,79
2024-01-01 20:13:07,,,,954,22.6,92,75,78
2024-01-01 20:13:08,,,,960,22.6,92,75,78
2024-01-01 20:13:09,,,,966,22.6,93,75,79
2024-01-01 20:13:10,,,,973,22.6,92,75,79
2024-01-01 20:13:11,,,,979,22.7,92,75,79
2024-01-01 20:13:12,,,,985,22.7,92,75,80
2024-01-01 20:13:13,,,,991,22.7,93,75,81
2024-01-01 20:13:14,,,,998,22.7,93,75,81
2024-01-01 20:13:15,,,,1004,22.7,92,75,80
2024-01-01 20:13:16,,,,1010,22.7,93,75,80
2024-01-01 20:13:17,,,,1017,22.7,93,75,80
2024-01-01 20:13:18,,,,1023,22.7,93,75,80
2024-01-01 20:13:19,,,,1029,22.7,92,75,79
2024-01-01 20:13:20,,,,1036,22.7,92,75,79
2024-01-01 20:13:21,,,,1042,22.7,92,75,81
2024-01-01 20:13:22,,,,1048,22.7,92,75,80
2024-01-01 20:13:23,,,,1055,22.7,92,75,80
2024-01-01 20:13:24,,,,1061,22.7,93,75,80
2024-01-01 20:13:25,,,,1067,22.7,93,75,80
2024-01-01 20:13:26,,,,1074,22.7,93,75,80
2024-01-01 20:13:27,,,,1080,22.7,93,75,81
2024-01-01 20:13:28,,,,1086,22.8,93,75,79
2024-01-01 20:13:29,,,,1092,22.8,93,75,79
2024-01-01 20:13:30,,,,1099,22.8,93,75,81
2024-01-01 20:13:31,,,,1105,22.8,93,75,81
2024-01-01 20:13:32,,,,1111,22.8,93,75,83
2024-01-01 20:13:33,,,,1118,22.8,93,75,82
2024-01-01 20:13:34,,,,1124,22.8,93,75,82
2024-01-01 20:13:35,,,,1130,22.8,93,75,82
2024-01-01 20:13:36,,,,1137,22.8,93,75,82
2024-01-01 20:13:37,,,,1143,22.8,93,75,82
2024-01-01 20:13:38,,,,1149,22.8,93,75,81
2024-01-01 20:13:39,,,,1156,22.8,93,75,81
2024-01-01 20:13:40,,,,1162,22.8,93,75,81
2024-01-01 20:13:41,,,,1168,22.8,93,75,81
2024-01-01 20:13:42,,,,1175,22.8,94,75,81
2024-01-01 20:13:43,,,,1181,22.8,94,75,81
